PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Wayne Selden,NYK,27,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Wendell Carter Jr.,ORL,23,24,10,14,3.9,0.9,0.2,0.9,23.8,0,0.3,0,0.5,0.8,66.7,0.1,1.3,1.4,0.2,0.1,0,0.1,0.4,3.1,16,0,0.4
Wenyen Gabriel,LAL,25,5,4,1,2.4,0,0,0.2,0,0,0,0,0,0,0,0.2,0.4,0.6,0.2,0,0,0.2,0.6,1.6,1,0,3.2
Wes Iwundu,ATL,27,2,2,0,3.2,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,5.5
Wesley Matthews,MIL,35,18,11,7,2.7,0.6,0.2,0.4,50,0.2,0.4,42.9,0,0,0,0.1,0.2,0.2,0.1,0,0.1,0,0.3,1.1,0,0,0.2
Will Barton,DEN,31,31,18,13,4,1.3,0.4,1.5,27.7,0.2,0.8,20,0.3,0.5,71.4,0.1,0.6,0.7,0.3,0.1,0.1,0,0.2,2.8,1,0,0.3
Willy Hernangomez,NOP,28,4,1,3,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.3,0,0.5,1.4,0,0,-2.3
Xavier Moon,LAC,27,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Xavier Tillman,MEM,23,3,1,2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7
Yuta Watanabe,TOR,27,6,2,4,1.3,0,0,0.3,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,-1.3
Zach Collins,SAS,24,7,5,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.6,0,0,0.3
Zach LaVine,CHI,27,31,18,13,3.6,3,0.9,1.9,49.2,0.2,0.6,33.3,0.9,1,96.7,0,0.5,0.6,0.1,0.1,0,0,0.4,4,0,0,0.6
Zavier Simpson,OKC,25,1,1,0,3.2,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.5,0,0,10
Zeke Nnaji,DEN,21,6,2,4,3.8,0,0,0.5,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.2,0,0,0.5,0.2,0,0,-3.8
Ziaire Williams,MEM,20,14,9,5,2.1,0.3,0.1,0.6,12.5,0,0.4,0,0.1,0.1,100,0.1,0.3,0.4,0,0,0.1,0,0.2,0.9,0,0,-0.4
