PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Jalen Smith,IND,22,14,4,10,2.7,0.8,0.4,0.8,45.5,0.1,0.3,25,0,0,0,0.2,0.1,0.4,0.1,0.2,0,0.1,0.4,1.3,4,0,-1.5
Jalen Suggs,ORL,21,10,5,5,3,1.1,0.4,0.8,50,0.1,0.1,100,0.2,0.3,66.7,0,0.5,0.5,0.2,0.4,0.2,0.1,0.4,2.5,0,0,-0.3
James Bouknight,CHA,21,2,1,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-1
James Harden,PHI,32,33,20,13,3.6,2.2,0.5,1.3,37.2,0.1,0.6,15.8,1.2,1.5,76,0.1,0.5,0.6,0.6,0.3,0.2,0,0.3,4,21,6,1
James Johnson,BKN,35,18,10,8,3.8,1,0.3,0.8,42.9,0.1,0.3,20,0.3,0.4,62.5,0.2,0.7,0.8,0.5,0.1,0.1,0.1,0.6,3.4,1,0,0.2
Jared Butler,UTA,21,1,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Jaren Jackson Jr.,MEM,22,29,20,9,3.3,1.4,0.4,1.2,31.4,0.2,0.6,38.9,0.4,0.5,78.6,0.2,0.5,0.7,0.1,0.2,0,0.3,0.4,3.1,3,0,1.5
Jarred Vanderbilt,MIN,23,25,15,10,2.8,0.2,0.1,0.3,28.6,0,0,0,0,0.2,25,0.2,0.4,0.6,0.1,0.2,0.1,0,0.4,1.1,5,0,0.2
Jarrett Allen,CLE,24,30,15,15,3,1.7,0.6,0.8,82.6,0,0,100,0.4,0.5,73.3,0.3,0.7,1,0.2,0.2,0.1,0.1,0,3.6,18,0,0.3
Jarrett Culver,MEM,23,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2
Javonte Green,CHI,28,22,15,7,2.1,0.5,0.2,0.2,80,0,0,0,0.1,0.2,75,0.2,0.2,0.4,0,0,0.1,0,0.1,1.2,0,0,0.5
Jaxson Hayes,NOP,22,8,4,4,3.2,0.8,0.3,0.3,100,0,0,0,0.3,0.3,100,0,0.4,0.4,0.1,0,0,0,0.4,1.4,2,0,0.6
Jay Scrubb,LAC,21,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Jaylen Brown,BOS,25,27,10,17,4.7,2.8,1.1,2.6,41.4,0.3,0.8,38.1,0.4,0.5,71.4,0,0.8,0.8,0.6,0.3,0.3,0.1,0.6,5.4,5,1,-0.9
Jaylen Hoard,OKC,23,1,1,0,3.2,0,0,1,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,4.8,1,0,10
Jaylen Nowell,MIN,22,6,3,3,2,1.5,0.5,0.7,75,0,0,0,0.5,0.7,75,0,0.2,0.2,0,0,0,0,0.5,1.7,0,0,1.8
Jayson Tatum,BOS,24,30,12,18,4.7,3.2,1,2.6,37.2,0.1,0.8,8,1.2,1.3,94.9,0.3,0.8,1.1,0.2,0.4,0.1,0.1,0.3,5.1,11,0,-0.6
Jeff Dowtin Jr.,ORL,25,1,0,1,2.9,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0.2,0,0,-15
Jeff Green,DEN,35,21,12,9,3.3,0.8,0.2,0.5,45.5,0,0.1,33.3,0.3,0.3,100,0.2,0.1,0.3,0.1,0,0,0.1,0.3,1.6,0,0,-0.2
Jerami Grant,DET,28,26,9,17,3.6,1.7,0.5,1.3,36.4,0,0.2,16.7,0.8,1,76.9,0,0.3,0.4,0.3,0.1,0,0.1,0.2,2.8,0,0,-1.5
Jeremiah Robinson-Earl,OKC,21,18,4,14,2.4,0.7,0.2,0.5,33.3,0.1,0.3,33.3,0.2,0.2,100,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,1.4,1,0,-1.6
Jeremy Lamb,SAC,30,12,5,7,2,0.8,0.3,0.8,30,0.1,0.3,25,0.3,0.6,42.9,0.1,0.5,0.6,0,0.1,0.1,0.2,0,2.2,0,0,1.5
Jericho Sims,NYK,23,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0.5,0.8,1.3,0,0.3,0,0,0,1.3,1,0,0.3
Jevon Carter,MIL,26,8,5,3,1.3,0.5,0.1,0.1,100,0,0,0,0.3,0.3,100,0.1,0.5,0.6,0.1,0,0,0,0.5,1.4,0,0,-0.5
Jimmy Butler,MIA,32,23,13,10,4,2.1,0.7,2.2,31.4,0,0.5,8.3,0.7,0.8,83.3,0,0.3,0.3,0.5,0.3,0.1,0.1,0.3,3.4,9,3,0.6
Jock Landale,SAS,26,9,4,5,1,0,0,0.2,0,0,0.1,0,0,0,0,0.1,0.2,0.3,0,0.1,0,0,0.1,0.3,1,0,-1
Joe Harris,BKN,30,5,4,1,2.4,0.8,0.4,0.4,100,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.6,0,0,3.2
Joe Ingles,POR,34,11,1,10,1.9,0.2,0.1,0.4,25,0,0.3,0,0,0,0,0,0,0,0.2,0,0.1,0,0.2,0.7,0,0,-1.5
Joe Wieskamp,SAS,22,3,0,3,1.5,0.3,0,0.3,0,0,0,0,0.3,0.7,50,0,0,0,0,0,0,0,0,0.3,0,0,-2
Joel Embiid,PHI,28,36,20,16,4.1,4.4,1.3,2.8,47,0.3,0.7,45.8,1.5,1.9,76.8,0.3,1,1.3,0.5,0.3,0.2,0.4,0.6,8,27,0,0.6
John Collins,ATL,24,21,8,13,3.2,0.7,0.3,0.8,37.5,0,0.2,0,0.1,0.3,50,0.2,1,1.2,0.2,0,0,0,0.3,2.6,8,0,-2.2
John Konchar,MEM,26,8,5,3,1.7,0.4,0.1,0.1,100,0.1,0.1,100,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.5,1,0,1.5
Jonas Valanciunas,NOP,30,28,13,15,3.5,1.9,0.6,1,66.7,0,0,100,0.5,0.6,93.8,0.5,0.6,1.1,0.4,0.3,0,0.2,0.6,4.1,23,0,0.3
Jonathan Kuminga,GSW,19,9,3,6,2.5,1.1,0.4,0.8,57.1,0,0,0,0.2,0.2,100,0.3,0.2,0.6,0.1,0.2,0,0,0.8,1.7,0,0,0.1
Jordan Clarkson,UTA,30,23,7,16,1.3,0.3,0.1,0.3,28.6,0,0.2,0,0.1,0.1,100,0,0.1,0.1,0,0,0,0,0.1,0.4,0,0,-1.1
Jordan McLaughlin,MIN,26,6,5,1,0.6,0.2,0,0.2,0,0,0.2,0,0.2,0.3,50,0,0,0,0,0,0,0,0,0.2,0,0,1
Jordan Nwora,MIL,23,11,4,7,2.3,0.6,0.3,0.5,50,0.1,0.2,50,0,0,0,0.2,0.2,0.4,0,0.1,0,0,0.3,1,1,0,0.9
Jordan Poole,GSW,23,33,17,16,2.3,1.5,0.4,1.1,33.3,0.1,0.6,20,0.6,0.7,95.5,0,0.2,0.3,0.1,0.1,0,0,0.3,2,1,0,1
Jose Alvarado,NOP,24,5,1,4,2.5,1.2,0.4,0.8,50,0,0.2,0,0.4,0.4,100,0,0.8,0.8,0.4,0,0,0,0.2,2.8,0,0,-1
Josh Christopher,HOU,20,13,5,8,1.4,0.5,0.2,0.5,33.3,0.1,0.3,25,0.1,0.1,100,0,0.3,0.3,0.2,0.2,0.1,0,0.5,1.1,0,0,-0.2
Josh Giddey,OKC,19,29,12,17,2.9,0.8,0.3,1,27.6,0,0.3,11.1,0.2,0.4,58.3,0.1,0.5,0.6,0.7,0.3,0,0,0.2,2.3,14,4,-0.6
Josh Green,DAL,21,5,2,3,1.5,0.4,0.2,0.2,100,0,0,0,0,0.4,0,0.2,0,0.2,0,0,0,0.2,0,1.2,1,0,-1.6
Josh Hart,POR,27,20,9,11,4,1.8,0.5,1,45,0.1,0.3,40,0.8,0.8,93.8,0.4,0.8,1.1,0.4,0.2,0,0,0.6,3.4,6,0,-1.2
Josh Jackson,SAC,25,5,1,4,1.5,0,0,0.2,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0.7,0,0,2
Josh Okogie,MIN,23,5,1,4,2.6,0.4,0.2,0.4,50,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0.4,0.6,1.8,0,0,-3
Josh Richardson,SAS,28,23,13,10,3.7,0.8,0.3,0.7,37.5,0.1,0.2,60,0.2,0.3,66.7,0.1,0.3,0.4,0.2,0.1,0,0,0.5,1.6,0,0,0.1
Joshua Primo,SAS,19,11,4,7,2.8,0.7,0.2,1,18.2,0.2,0.5,33.3,0.2,0.3,66.7,0.5,0,0.5,0.1,0.1,0,0.1,0.7,1.6,0,0,-1.8
Jrue Holiday,MIL,32,33,23,10,3.1,2,0.7,1.5,50,0.2,0.5,35.3,0.3,0.5,68.8,0.2,0.6,0.8,0.4,0.2,0.2,0,0.3,3.9,4,0,2
Juan Toscano-Anderson,GSW,29,13,8,5,2.3,1,0.4,0.7,55.6,0.1,0.2,33.3,0.2,0.2,66.7,0.2,0.5,0.6,0.2,0.1,0.1,0,0.3,2.2,0,0,0.3
Juancho Hernangomez,UTA,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Randle,NYK,27,37,15,22,3.5,1.7,0.5,1.3,37.5,0.1,0.4,20,0.6,0.9,67.6,0.2,0.7,0.9,0.4,0.3,0,0.1,0.5,3.3,20,1,-1.4
Justin Anderson,IND,28,3,0,3,2.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,-3
Justin Champagnie,TOR,21,5,3,2,1.2,0.4,0.2,0.2,100,0,0,0,0,0,0,0.4,0,0.4,0,0.2,0,0,0.2,0.7,0,0,0.8
Justin Holiday,SAC,33,31,8,23,3.5,0.8,0.2,0.7,31.8,0.1,0.5,20,0.3,0.3,88.9,0.1,0.3,0.4,0.2,0.1,0.1,0,0.4,1.8,0,0,-2.1
Justin Jackson,PHX,27,1,1,0,0.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Justin Robinson,DET,24,3,2,1,1.9,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0.7,0.4,0,0,0
Justise Winslow,POR,26,14,9,5,2.2,1.1,0.3,0.6,44.4,0,0.1,0,0.5,0.7,70,0.4,0.3,0.6,0.4,0.1,0.1,0,0.2,2.7,1,0,1
Jusuf Nurkic,POR,27,22,10,12,3.2,2.1,0.9,1.4,63.3,0,0,0,0.4,0.5,75,0.7,1,1.6,0.2,0,0.1,0,0.4,4.7,14,0,1.7
KZ Okpala,MIA,23,1,1,0,2.3,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
Karl-Anthony Towns,MIN,26,31,18,13,3,1.6,0.6,1.4,45.2,0.2,0.6,38.9,0.2,0.2,71.4,0.2,0.6,0.8,0.1,0.2,0.1,0.3,0.4,3.6,18,0,0.9
Keifer Sykes,IND,28,5,1,4,2.6,1,0.4,0.8,50,0.2,0.4,50,0,0,0,0,0.2,0.2,0,0,0,0,0.2,1.2,0,0,-1.8
Keita Bates-Diop,SAS,26,11,2,9,2.9,0.6,0.3,0.4,75,0.1,0.1,100,0,0,0,0,0.5,0.5,0,0.3,0.2,0,0.5,1.5,1,0,-2.5
Kelan Martin,BOS,26,8,1,7,1.8,0.3,0.1,0.8,16.7,0,0.6,0,0,0,0,0.1,0,0.1,0,0,0,0,0.3,0.4,0,0,-2.6
Keldon Johnson,SAS,22,33,15,18,3.3,1.1,0.4,1.3,27.3,0.1,0.6,15.8,0.3,0.4,69.2,0.1,0.4,0.5,0.1,0,0.1,0,0.2,2.4,3,0,-0.6
Keljin Blevins,POR,26,2,0,2,0.9,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-1.5
Kelly Olynyk,DET,31,11,6,5,0.5,0.3,0.1,0.1,100,0,0,0,0.1,0.2,50,0,0.2,0.2,0,0.2,0,0,0.3,0.3,1,0,1
Kelly Oubre Jr.,CHA,26,22,8,14,3.3,1.5,0.5,1.3,41.4,0.3,0.7,43.8,0,0.1,50,0,0.3,0.3,0,0,0,0,0.4,2,1,0,-0.2
Kemba Walker,NYK,32,11,6,5,2.5,0.7,0.2,1.3,14.3,0.2,0.6,28.6,0.2,0.2,100,0.2,0.5,0.6,0.5,0.2,0,0,0.5,2,0,0,-1
Kenrich Williams,OKC,27,22,12,10,2.5,0.8,0.4,0.5,72.7,0.1,0.1,100,0,0,0,0.2,0.2,0.4,0.2,0,0,0,0.3,1.7,0,0,1.4
Kent Bazemore,LAL,32,5,3,2,2.7,0.6,0.2,0.4,50,0.2,0.2,100,0,0,0,0,0.2,0.2,0,0,0.4,0,1,2,0,0,-0.4
Kentavious Caldwell-Pope,WAS,29,37,23,14,4.2,1.5,0.5,1,50,0.3,0.6,43.5,0.2,0.2,88.9,0,0.4,0.4,0.1,0.2,0.1,0.1,0.3,2.4,2,0,1.1
Kenyon Martin Jr.,HOU,21,11,4,7,3,0.2,0.1,0.5,20,0,0.4,0,0,0,0,0,0.5,0.5,0,0,0,0.3,0.5,1.7,1,0,-1
Keon Johnson,POR,20,5,0,5,3,1,0.4,0.8,50,0.2,0.6,33.3,0,0.2,0,0.2,0.2,0.4,0,0.4,0.2,0,0.2,1.7,0,0,-4.4
Kessler Edwards,BKN,21,11,3,8,3.2,0.3,0.1,0.6,14.3,0,0.5,0,0.1,0.2,50,0.1,0.5,0.5,0,0,0.1,0.2,0.5,1.7,1,0,-1.1
Kevin Durant,BKN,33,28,17,11,4.1,3.9,1.3,3.2,41.6,0.3,1,28.6,1,1,93.1,0.1,0.9,1,0.5,0.2,0,0.1,0.4,6.1,13,3,1
Kevin Huerter,ATL,23,27,13,14,3.3,0.7,0.3,0.6,46.7,0.1,0.3,37.5,0.1,0.1,75,0.1,0.7,0.8,0.3,0.1,0.1,0.1,0.4,2.5,1,0,-0.7
Kevin Knox II,ATL,22,1,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Kevin Love,CLE,33,16,8,8,1.6,1,0.3,0.8,38.5,0.2,0.4,42.9,0.2,0.2,100,0.3,0.3,0.5,0.1,0.3,0,0,0.1,1.4,4,0,-0.3
Kevin Pangos,CLE,29,2,1,1,0.1,1,0,0.5,0,0,0.5,0,1,1,100,0,0,0,0,0,0,0,0,1,0,0,1.5
Kevin Porter Jr.,HOU,22,22,9,13,3.9,1.5,0.5,1.5,31.3,0.2,0.6,28.6,0.5,0.6,76.9,0.1,0.4,0.5,0.5,0.4,0,0,0.5,2.5,7,1,-0.7
Kevon Looney,GSW,26,27,17,10,2,0.7,0.3,0.4,80,0,0,0,0.1,0.2,33.3,0.2,0.2,0.4,0,0.1,0,0,0.3,1.3,2,0,-0.1
Khem Birch,TOR,29,9,6,3,2.8,0.8,0.2,0.8,28.6,0,0.1,0,0.3,0.4,75,0.8,0,0.8,0.1,0,0,0,0.1,1.9,0,0,1
Khris Middleton,MIL,30,34,21,13,2.6,2,0.6,1.3,44.2,0.2,0.6,40,0.6,0.7,88,0.1,0.6,0.6,0.2,0.2,0.1,0,0.4,3.2,3,0,1.1
Killian Hayes,DET,20,23,10,13,2.6,0.3,0.1,0.3,28.6,0,0.2,0,0.1,0.2,50,0.2,0.3,0.4,0.3,0.1,0,0.1,0.5,1.3,1,0,-1.5
Killian Tillie,MEM,24,2,2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,0,3
Klay Thompson,GSW,32,16,5,11,3.5,1.6,0.6,1.7,33.3,0.3,1.3,25,0.1,0.1,100,0,0.4,0.4,0.2,0.1,0.1,0.1,0.3,2.5,0,0,-0.8
Kris Dunn,POR,28,6,1,5,1.7,0,0,0.8,0,0,0.5,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,-2.5
Kristaps Porzingis,WAS,26,20,9,11,3.2,2.5,1,1.7,60.6,0.1,0.3,16.7,0.4,0.4,100,0.4,0.4,0.8,0.2,0.4,0.1,0.3,0.5,4.4,6,0,-0.7
Kyle Anderson,MEM,28,19,13,6,2.4,0.3,0.1,0.5,22.2,0,0.1,0,0.1,0.1,100,0.5,0.5,0.9,0.3,0,0,0.2,0.3,2.4,0,0,1.3
Kyle Guy,MIA,24,3,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
Kyle Kuzma,WAS,26,36,22,14,3.9,2.6,0.8,1.9,40.6,0.5,1.2,39.5,0.6,0.7,80.8,0.1,0.8,0.9,0.3,0.2,0,0.1,0.3,4.3,17,1,1.1
Kyle Lowry,MIA,36,26,16,10,3.5,2,0.7,1.5,50,0.2,0.7,27.8,0.4,0.5,76.9,0.1,0.4,0.5,0.4,0.2,0.2,0,0.3,3.4,8,1,0.4
Kyrie Irving,BKN,30,15,5,10,3.5,2.7,0.7,2.1,35.5,0.2,0.8,25,1,1.1,88.2,0.1,0.3,0.4,0.5,0.1,0,0.1,0.2,3.9,1,0,0.3
LaMarcus Aldridge,BKN,36,16,10,6,3.5,1.8,0.6,1.3,45,0,0,0,0.7,0.8,84.6,0.6,0.6,1.1,0.2,0,0.1,0.3,0.4,4.4,2,0,1.9
LaMelo Ball,CHA,20,31,16,15,4,1.6,0.4,1.6,26.5,0.1,0.8,16,0.6,0.7,86.4,0.1,0.5,0.6,0.9,0.2,0.1,0.1,0.6,4,12,3,-0.1
Lamar Stevens,CLE,24,14,7,7,1.5,0.4,0.1,0.3,25,0,0.1,0,0.2,0.4,60,0,0.4,0.4,0.1,0,0,0.2,0.2,1.6,0,0,0.7
Lance Stephenson,IND,31,7,1,6,4.1,1,0.3,1.6,18.2,0.3,0.9,33.3,0.1,0.1,100,0.1,0.4,0.6,0.6,0,0.1,0,0.6,3,1,0,-2.7
Landry Shamet,PHX,25,12,9,3,2.1,0.8,0.2,0.7,25,0.1,0.5,16.7,0.3,0.4,80,0,0,0,0.1,0.2,0,0,0.1,0.7,0,0,0.6
Langston Galloway,MIL,30,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Larry Nance Jr.,NOP,29,13,7,6,1.4,0.6,0.2,0.3,75,0,0.1,0,0.2,0.2,100,0.1,0.1,0.2,0,0,0,0,0,0.8,0,0,0.1
Lauri Markkanen,CLE,25,30,15,15,3.1,1.9,0.6,1.1,50,0.4,0.8,44,0.4,0.5,81.3,0.1,0.5,0.7,0.1,0,0.1,0.1,0.4,3.4,3,0,1.4
LeBron James,LAL,37,31,14,17,4.7,3.4,1.1,2.9,38.5,0.4,1.4,25.6,0.8,1.1,68.6,0.2,0.7,0.9,0.7,0.4,0.1,0.2,0.3,6.1,17,4,-0.9
Leandro Bolmaro,MIN,21,3,1,2,1.6,0.7,0.3,0.7,50,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,1.1,0,0,-2
Lindell Wigginton,MIL,24,2,1,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5
Lindy Waters III,OKC,24,2,0,2,2.6,1,0.5,1,50,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1.8,0,0,-0.5
Lonnie Walker IV,SAS,23,20,7,13,3.4,1.6,0.5,1.1,40.9,0.2,0.6,36.4,0.5,0.8,66.7,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.4,2.7,0,0,-1.3
Lonzo Ball,CHI,24,16,10,6,3.2,0.4,0.1,0.7,18.2,0.1,0.5,12.5,0.1,0.1,100,0.4,0.5,0.9,0.1,0.3,0.2,0,0.4,1.9,1,0,1.6
Lou Williams,ATL,35,5,3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,1.4
Luguentz Dort,OKC,23,25,12,13,3.5,2.6,0.8,1.8,43.2,0.2,0.8,31.6,0.8,0.9,91.3,0.1,0.2,0.3,0,0.1,0.2,0.2,0.7,3.8,0,0,-0.4
Luka Doncic,DAL,23,29,21,8,3.2,2.7,1,2.1,48.4,0.2,0.9,23.1,0.4,0.5,85.7,0,0.6,0.6,0.5,0.2,0.1,0,0.2,4.3,19,4,0.9
Luka Garza,DET,23,3,1,2,3.8,1.3,0.3,0.7,50,0,0,0,0.7,0.7,100,1.3,0,1.3,0,0.7,0,0,1,2.3,1,0,-1.7
Luke Kennard,LAC,26,35,19,16,2.8,1.1,0.3,0.5,61.1,0.3,0.4,66.7,0.2,0.2,85.7,0,0.2,0.2,0.2,0.1,0.1,0,0.1,1.7,0,0,0.7
Luke Kornet,BOS,26,1,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3
Mac McClung,LAL,23,1,1,0,5.9,2,1,1,100,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10
Malachi Flynn,TOR,24,3,1,2,2,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0.4,0,0,-1.7
Malcolm Brogdon,IND,29,17,5,12,4.9,3.5,1.2,2.9,42,0.3,0.9,31.3,0.8,0.8,92.9,0.2,0.7,0.9,0.6,0.4,0.2,0.1,0.3,6,5,1,-0.6
Malcolm Hill,CHI,26,2,0,2,1.3,1,0.5,1,50,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,1
Malik Beasley,MIN,25,22,9,13,2.4,0.8,0.2,0.8,29.4,0.2,0.6,28.6,0.1,0.1,100,0,0.2,0.2,0,0,0,0,0.1,1.3,0,0,-0.8
Malik Monk,LAL,24,38,18,20,3.6,1.6,0.5,1,48.7,0.2,0.6,42.9,0.3,0.6,57.1,0.1,0.4,0.4,0.1,0.2,0.1,0,0.3,2.2,1,0,-0.1
Mamadi Diakite,OKC,25,1,1,0,1.8,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,1,3.2,0,0,-2
Marcus Morris Sr.,LAC,32,24,14,10,3.7,1.7,0.5,1.1,46.2,0.3,0.6,40,0.4,0.6,71.4,0.1,0.2,0.3,0.1,0.2,0,0.1,0.3,2.4,1,0,0.8
Marcus Smart,BOS,28,28,11,17,4.6,1.5,0.4,1.2,30.3,0.2,0.6,31.3,0.6,0.7,84.2,0.1,0.5,0.6,0.4,0.3,0.3,0,0.4,3.3,1,0,0
Markieff Morris,MIA,32,1,0,1,0.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Howard,DEN,23,1,0,1,6.3,4,1,6,16.7,0,2,0,2,2,100,1,0,1,0,0,1,0,1,8.2,0,0,-8
Marquese Chriss,DAL,24,2,0,2,1.1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1.5,0,0,-2
Marvin Bagley III,DET,23,16,7,9,4.1,1.4,0.6,1,62.5,0.1,0.2,33.3,0.1,0.1,100,0.1,0.7,0.8,0.2,0.1,0.1,0.1,0.4,3,2,0,-0.9
Mason Jones,LAL,23,1,1,0,5.9,2,0,1,0,0,0,0,2,2,100,0,4,4,1,0,0,0,2,8.3,0,0,10
Mason Plumlee,CHA,32,24,12,12,2.6,0.8,0.4,0.4,90,0,0,0,0,0.1,0,0.1,0.4,0.5,0,0,0,0,0.5,1.6,4,0,-1.4
Matisse Thybulle,PHI,25,27,17,10,2.8,0.6,0.2,0.4,60,0,0.1,25,0.1,0.1,50,0.1,0.1,0.3,0.1,0,0.1,0,0.4,1.7,0,0,-0.9
Matt Thomas,CHI,27,5,3,2,0.4,0.2,0,0,0,0,0,0,0.2,0.2,100,0,0,0,0,0,0,0,0,0.2,0,0,1.4
Maurice Harkless,SAC,29,9,3,6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,-1.7
Max Strus,MIA,26,19,12,7,2.7,0.9,0.3,0.6,41.7,0.3,0.5,50,0.2,0.2,100,0.1,0.4,0.5,0.1,0.1,0,0.1,0.4,1.9,0,0,1.6
Maxi Kleber,DAL,30,22,11,11,2.9,1,0.2,0.5,41.7,0.2,0.5,41.7,0.3,0.4,75,0.2,0.5,0.6,0.1,0.1,0.1,0.1,0.3,2.4,1,0,-0.5
McKinley Wright IV,MIN,23,1,0,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,-5
Micah Potter,DET,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Porter Jr.,DEN,24,3,2,1,3.6,0,0,1,0,0,0.7,0,0,0,0,0,1.3,1.3,0.3,0,0,0,0,2.1,1,0,3.7
Mikal Bridges,PHX,25,39,32,7,3,1.3,0.5,0.8,65.6,0.1,0.1,40,0.2,0.3,72.7,0.2,0.3,0.5,0.2,0.1,0.1,0.1,0.4,2.6,0,0,2.7
Mike Conley,UTA,34,34,16,18,3.6,2.3,0.7,1.5,48.1,0.4,0.8,50,0.4,0.5,77.8,0.1,0.3,0.4,0.4,0.1,0.2,0,0.4,4.1,1,0,0.4
Mike Muscala,OKC,30,17,8,9,2.4,1.6,0.5,0.9,53.3,0.3,0.6,50,0.4,0.6,70,0.1,0.5,0.6,0.1,0.1,0,0.1,0.4,2.5,0,0,-0.8
Miles Bridges,CHA,24,34,17,17,4.4,2.5,0.8,1.8,43.5,0.2,0.9,24.1,0.7,0.8,85.7,0.2,0.9,1,0.4,0.2,0.1,0.1,0.4,4.5,10,0,-0.5
Miles McBride,NYK,21,3,2,1,1.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0.9,0,0,3.7
Mitchell Robinson,NYK,24,26,11,15,3.2,0.7,0.3,0.5,66.7,0,0,0,0.1,0.2,50,0.6,0.6,1.2,0,0,0,0.1,0.5,2.6,11,0,-1.7
Mo Bamba,ORL,24,20,7,13,3.7,1,0.4,0.9,47.1,0.2,0.4,37.5,0.1,0.1,100,0.5,1,1.4,0,0.2,0.1,0.4,0.3,3.9,10,0,0.5
Monte Morris,DEN,27,35,21,14,3.6,1.5,0.5,1.1,51.4,0.1,0.4,33.3,0.3,0.3,100,0.1,0.3,0.4,0.5,0.1,0.1,0,0.1,2.8,0,0,1.1
Montrezl Harrell,CHA,28,23,13,10,3.2,1.6,0.6,1,63.6,0,0.1,0,0.3,0.6,57.1,0.5,0.5,1,0.1,0.1,0,0.2,0.3,3.2,5,0,-0.6
Moritz Wagner,ORL,25,5,2,3,0.9,0,0,0.4,0,0,0.4,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0.4,0.6,0,0,-3.2
Moses Brown,CLE,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Moses Moody,GSW,20,5,1,4,2.7,0.6,0.2,0.6,33.3,0,0,0,0.2,0.4,50,0.4,0.4,0.8,0,0,0.2,0,0.2,2.2,0,0,-2.6
Mychal Mulder,MIA,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
Myles Turner,IND,26,19,4,15,2.8,0.5,0.2,0.6,33.3,0.1,0.4,28.6,0,0,0,0.2,0.4,0.6,0.1,0.1,0,0.1,0.3,1.4,5,0,-3.2
Naji Marshall,NOP,24,7,3,4,1.3,0.3,0,0.3,0,0,0.1,0,0.3,0.3,100,0.1,0,0.1,0,0,0.1,0,0.3,0.9,0,0,-2
